game_id,player_id,player_name,team,period,minutes_remaining,seconds_remaining,shot_made,shot_type,shot_distance,loc_x,loc_y,shot_zone,action_type
0022300060,1628368,De'Aaron Fox,SAC,2,10,59,False,2PT Field Goal,5,49,26,In The Paint (Non-RA),Driving Layup Shot
0022300060,1628368,De'Aaron Fox,SAC,2,6,1,False,3PT Field Goal,25,51,254,Above the Break 3,Step Back Jump shot
0022300060,1628368,De'Aaron Fox,SAC,2,5,23,False,2PT Field Goal,7,-17,75,In The Paint (Non-RA),Driving Floating Jump Shot
0022300060,1628368,De'Aaron Fox,SAC,2,3,54,False,2PT Field Goal,12,0,121,In The Paint (Non-RA),Driving Floating Jump Shot
0022300060,1628368,De'Aaron Fox,SAC,2,0,37,True,2PT Field Goal,5,7,50,In The Paint (Non-RA),Driving Layup Shot
0022300060,1628368,De'Aaron Fox,SAC,3,11,2,False,3PT Field Goal,24,-151,197,Above the Break 3,Jump Shot
0022300060,1628368,De'Aaron Fox,SAC,3,6,24,True,2PT Field Goal,5,-45,36,In The Paint (Non-RA),Driving Floating Bank Jump Shot
0022300060,1628368,De'Aaron Fox,SAC,3,2,36,True,2PT Field Goal,7,-6,74,In The Paint (Non-RA),Driving Floating Jump Shot
0022300060,1628368,De'Aaron Fox,SAC,3,0,54,True,3PT Field Goal,25,-86,236,Above the Break 3,Pullup Jump shot
0022300060,1628368,De'Aaron Fox,SAC,3,0,32,False,3PT Field Goal,25,-136,216,Above the Break 3,Step Back Jump shot
0022300060,1628368,De'Aaron Fox,SAC,4,11,50,False,2PT Field Goal,8,-12,87,In The Paint (Non-RA),Turnaround Jump Shot
0022300060,1628368,De'Aaron Fox,SAC,4,8,28,True,2PT Field Goal,2,-17,19,Restricted Area,Driving Layup Shot
0022300060,1628368,De'Aaron Fox,SAC,4,5,59,False,2PT Field Goal,2,4,22,Restricted Area,Running Layup Shot
0022300060,1628368,De'Aaron Fox,SAC,4,5,46,True,2PT Field Goal,4,4,48,In The Paint (Non-RA),Floating Jump shot
0022300060,1628368,De'Aaron Fox,SAC,4,4,2,False,3PT Field Goal,26,-28,260,Above the Break 3,Step Back Jump shot
0022300060,1628368,De'Aaron Fox,SAC,4,1,14,True,3PT Field Goal,24,-129,211,Above the Break 3,Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,1,11,28,True,2PT Field Goal,2,-18,13,Restricted Area,Layup Shot
0022300072,1628368,De'Aaron Fox,SAC,1,8,47,False,3PT Field Goal,24,82,229,Above the Break 3,Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,1,6,45,True,2PT Field Goal,6,-6,61,In The Paint (Non-RA),Fadeaway Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,1,0,3,False,2PT Field Goal,6,5,64,In The Paint (Non-RA),Driving Floating Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,1,0,3,False,2PT Field Goal,1,13,8,Restricted Area,Tip Layup Shot
0022300072,1628368,De'Aaron Fox,SAC,2,8,42,False,3PT Field Goal,24,-26,242,Above the Break 3,Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,2,8,12,False,2PT Field Goal,7,58,52,In The Paint (Non-RA),Layup Shot
0022300072,1628368,De'Aaron Fox,SAC,2,1,50,False,2PT Field Goal,1,-15,9,Restricted Area,Driving Layup Shot
0022300072,1628368,De'Aaron Fox,SAC,2,0,29,False,3PT Field Goal,25,98,235,Above the Break 3,Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,3,11,44,True,2PT Field Goal,16,104,126,Mid-Range,Step Back Jump shot
0022300072,1628368,De'Aaron Fox,SAC,3,9,54,True,3PT Field Goal,26,-238,107,Above the Break 3,Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,3,5,19,True,2PT Field Goal,10,-49,97,In The Paint (Non-RA),Layup Shot
0022300072,1628368,De'Aaron Fox,SAC,3,1,22,False,2PT Field Goal,11,-33,106,In The Paint (Non-RA),Turnaround Fadeaway shot
0022300072,1628368,De'Aaron Fox,SAC,3,0,2,True,2PT Field Goal,2,1,25,Restricted Area,Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,4,10,24,False,3PT Field Goal,25,156,197,Above the Break 3,Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,4,9,40,False,2PT Field Goal,4,-16,46,In The Paint (Non-RA),Layup Shot
0022300072,1628368,De'Aaron Fox,SAC,4,9,34,False,3PT Field Goal,23,-237,5,Left Corner 3,Jump Shot
0022300072,1628368,De'Aaron Fox,SAC,4,3,10,False,3PT Field Goal,27,-123,246,Above the Break 3,Jump Shot
0022300087,1628368,De'Aaron Fox,SAC,1,10,37,False,2PT Field Goal,10,-7,106,In The Paint (Non-RA),Driving Layup Shot
0022300087,1628368,De'Aaron Fox,SAC,1,5,43,True,2PT Field Goal,7,-64,39,In The Paint (Non-RA),Driving Layup Shot
0022300087,1628368,De'Aaron Fox,SAC,1,0,53,True,2PT Field Goal,4,-13,47,In The Paint (Non-RA),Driving Layup Shot
0022300087,1628368,De'Aaron Fox,SAC,1,0,10,True,3PT Field Goal,27,-20,270,Above the Break 3,Step Back Jump shot
0022300087,1628368,De'Aaron Fox,SAC,2,11,43,True,3PT Field Goal,27,16,275,Above the Break 3,Pullup Jump shot
0022300087,1628368,De'Aaron Fox,SAC,2,4,53,True,2PT Field Goal,4,-1,44,In The Paint (Non-RA),Running Dunk Shot
